indices,classes,samples,attributes,Sensitivity,Specificity
514,2,5000,90,41.2,55.92
515,2,5000,100,46.4,52.15
516,2,5000,125,54.8,43.64
517,2,5000,150,58.8,36.69
518,2,5000,175,67.2,31.39
519,2,5000,200,72.4,26.57
520,2,5000,225,78.0,23.47
521,2,5000,250,81.6,19.43
522,3,5000,10,5.6,92.27
523,3,5000,20,15.6,86.17
524,3,5000,25,15.6,84.76
525,3,5000,30,17.6,81.71
526,3,5000,40,23.6,75.26
527,3,5000,50,26.4,72.04
528,3,5000,60,39.6,65.92
529,3,5000,70,38.8,62.4
530,3,5000,75,38.0,60.55
531,3,5000,80,43.2,58.34
532,3,5000,90,41.6,53.64
533,3,5000,100,46.4,50.99
534,3,5000,125,52.4,44.27
535,3,5000,150,59.2,37.89
536,3,5000,175,66.8,32.13
537,3,5000,200,69.6,27.24
538,3,5000,225,78.4,23.14
539,3,5000,250,81.2,20.29
540,4,5000,10,6.8,91.81
541,4,5000,20,10.0,86.34
542,4,5000,25,14.0,83.6
543,4,5000,30,18.0,81.07
544,4,5000,40,22.0,75.18
545,4,5000,50,32.8,70.34
546,4,5000,60,35.6,66.53
547,4,5000,70,32.8,62.61
548,4,5000,75,40.0,61.14
549,4,5000,80,37.6,58.74
550,4,5000,90,42.0,55.83
551,4,5000,100,40.0,51.24
552,4,5000,125,58.0,44.13
553,4,5000,150,63.2,39.18
554,4,5000,175,64.0,32.67
555,4,5000,200,75.6,26.13
556,4,5000,225,73.6,23.68
557,4,5000,250,78.0,20.55
558,5,5000,10,1.6,94.08
559,5,5000,20,13.6,85.43
560,5,5000,25,15.6,82.21
561,5,5000,30,22.8,80.06
562,5,5000,40,27.6,75.98
563,5,5000,50,29.6,70.72
564,5,5000,60,29.6,67.98
565,5,5000,70,35.2,61.58
566,5,5000,75,42.0,62.25
567,5,5000,80,35.2,58.0
568,5,5000,90,45.2,55.43
569,5,5000,100,46.0,51.81
570,5,5000,125,57.2,44.91
571,5,5000,150,60.4,37.33
572,5,5000,175,72.8,32.44
573,5,5000,200,76.8,27.35
574,5,5000,225,74.0,23.92
575,5,5000,250,76.8,19.12
576,6,5000,10,6.0,91.66
577,6,5000,20,17.2,86.63
578,6,5000,25,14.4,84.48
579,6,5000,30,18.8,81.81
580,6,5000,40,22.8,76.11
581,6,5000,50,30.8,71.09
582,6,5000,60,38.0,66.72
583,6,5000,70,38.8,62.88
584,6,5000,75,37.6,60.32
585,6,5000,80,47.6,58.27
586,6,5000,90,46.4,54.25
587,6,5000,100,51.2,51.41
588,6,5000,125,56.0,43.18
589,6,5000,150,63.2,37.24
590,6,5000,175,72.0,32.27
591,6,5000,200,71.2,27.56
592,6,5000,225,78.0,23.39
593,6,5000,250,82.0,19.47
594,7,5000,10,12.4,91.62
595,7,5000,20,13.2,85.58
596,7,5000,25,17.6,83.71
597,7,5000,30,13.2,82.08
598,7,5000,40,27.6,74.84
599,7,5000,50,26.0,70.08
600,7,5000,60,36.8,67.41
601,7,5000,70,34.8,62.99
602,7,5000,75,38.0,58.8
603,7,5000,80,40.4,58.8
604,7,5000,90,45.2,55.45
605,7,5000,100,53.2,51.2
606,7,5000,125,53.2,43.24
607,7,5000,150,66.0,36.21
608,7,5000,175,66.4,31.71
609,7,5000,200,69.2,26.97
610,7,5000,225,76.0,22.19
611,7,5000,250,78.0,20.8
612,8,5000,10,6.8,92.84
613,8,5000,20,15.2,85.89
614,8,5000,25,15.6,83.45
615,8,5000,30,19.6,80.65
616,8,5000,40,25.6,75.87
617,8,5000,50,28.8,71.16
618,8,5000,60,32.0,65.98
619,8,5000,70,32.0,62.91
620,8,5000,75,45.2,61.49
621,8,5000,80,50.8,57.64
622,8,5000,90,42.0,55.85
623,8,5000,100,46.0,50.46
624,8,5000,125,58.4,44.29
625,8,5000,150,62.4,36.95
626,8,5000,175,64.8,32.17
627,8,5000,200,76.8,27.12
628,8,5000,225,75.2,23.03
629,8,5000,250,78.0,19.94
630,9,5000,10,5.2,92.86
631,9,5000,20,16.8,86.15
632,9,5000,25,16.4,82.93
633,9,5000,30,14.8,81.79
634,9,5000,40,24.8,75.31
635,9,5000,50,34.4,69.89
636,9,5000,60,37.6,65.94
637,9,5000,70,37.6,62.76
638,9,5000,75,40.8,59.39
639,9,5000,80,43.6,58.8
640,9,5000,90,46.8,54.63
641,9,5000,100,49.2,52.27
642,9,5000,125,56.8,42.8
643,9,5000,150,64.0,36.08
644,9,5000,175,71.2,32.29
645,9,5000,200,74.0,28.23
646,9,5000,225,77.2,23.41
647,9,5000,250,83.2,19.87
648,10,5000,10,6.8,93.01
649,10,5000,20,9.2,86.72
650,10,5000,25,16.8,84.11
651,10,5000,30,16.8,81.71
652,10,5000,40,26.8,75.58
653,10,5000,50,28.8,70.51
654,10,5000,60,28.0,66.59
655,10,5000,70,38.8,62.42
656,10,5000,75,38.4,59.14
657,10,5000,80,43.6,58.32
658,10,5000,90,52.0,54.67
659,10,5000,100,48.0,50.57
660,10,5000,125,52.0,44.48
661,10,5000,150,61.2,38.13
662,10,5000,175,64.4,32.02
663,10,5000,200,72.8,27.24
664,10,5000,225,76.8,23.52
665,10,5000,250,82.0,19.2
666,11,5000,10,4.4,94.4
667,11,5000,20,15.6,86.02
668,11,5000,25,12.8,84.48
669,11,5000,30,16.4,80.61
670,11,5000,40,21.2,73.62
671,11,5000,50,31.6,71.58
672,11,5000,60,34.4,66.91
673,11,5000,70,40.4,62.27
674,11,5000,75,42.0,60.69
675,11,5000,80,45.2,59.16
676,11,5000,90,48.8,54.11
677,11,5000,100,48.0,51.35
678,11,5000,125,54.8,45.24
679,11,5000,150,68.0,36.76
680,11,5000,175,72.8,31.47
681,11,5000,200,76.4,28.48
682,11,5000,225,77.6,23.24
683,11,5000,250,80.4,19.89
684,12,5000,10,5.6,92.42
685,12,5000,20,13.2,87.07
686,12,5000,25,17.2,83.41
687,12,5000,30,18.4,81.89
688,12,5000,40,25.6,75.64
689,12,5000,50,30.4,70.32
690,12,5000,60,36.0,65.98
691,12,5000,70,36.8,62.32
692,12,5000,75,37.6,59.92
693,12,5000,80,37.6,58.99
694,12,5000,90,46.0,55.22
695,12,5000,100,49.2,51.79
696,12,5000,125,56.0,43.96
697,12,5000,150,62.4,37.92
698,12,5000,175,67.6,30.88
699,12,5000,200,74.8,26.61
700,12,5000,225,71.2,22.99
701,12,5000,250,76.4,18.99
702,13,5000,10,4.4,92.48
703,13,5000,20,11.2,86.32
704,13,5000,25,14.8,83.22
705,13,5000,30,17.6,80.04
706,13,5000,40,19.6,74.76
707,13,5000,50,28.0,70.59
708,13,5000,60,34.0,66.63
709,13,5000,70,36.0,61.83
710,13,5000,75,36.4,60.13
711,13,5000,80,44.8,59.43
712,13,5000,90,47.2,54.46
713,13,5000,100,52.4,51.24
714,13,5000,125,59.2,42.84
715,13,5000,150,67.2,36.34
716,13,5000,175,67.2,32.44
717,13,5000,200,74.8,27.47
718,13,5000,225,84.0,22.4
719,13,5000,250,80.0,19.58
720,14,5000,10,4.8,93.45
721,14,5000,20,14.4,87.22
722,14,5000,25,16.4,83.73
723,14,5000,30,19.6,81.16
724,14,5000,40,24.8,75.54
725,14,5000,50,26.4,70.69
726,14,5000,60,35.2,66.8
727,14,5000,70,41.2,62.08
728,14,5000,75,38.4,60.34
729,14,5000,80,44.4,57.37
730,14,5000,90,45.6,54.0
731,14,5000,100,44.8,51.89
732,14,5000,125,59.6,43.33
733,14,5000,150,64.4,36.46
734,14,5000,175,72.0,32.44
735,14,5000,200,74.8,27.45
736,14,5000,225,78.0,23.52
737,14,5000,250,76.4,20.19
738,15,5000,10,6.4,93.18
739,15,5000,20,15.2,87.24
740,15,5000,25,17.2,84.17
741,15,5000,30,21.2,80.34
742,15,5000,40,22.4,76.08
743,15,5000,50,29.6,71.62
744,15,5000,60,37.6,66.32
745,15,5000,70,34.8,63.58
746,15,5000,75,39.2,60.72
747,15,5000,80,39.6,58.04
748,15,5000,90,47.2,53.62
749,15,5000,100,52.0,52.29
750,15,5000,125,59.2,43.87
751,15,5000,150,63.6,37.66
752,15,5000,175,72.8,31.73
753,15,5000,200,76.4,28.67
754,15,5000,225,79.2,23.07
755,15,5000,250,84.8,19.41
756,2,10000,10,7.6,92.41
757,2,10000,50,25.4,72.6
758,2,10000,75,42.0,62.44
759,2,10000,100,48.4,52.82
760,2,10000,250,81.6,19.71
761,2,10000,500,96.6,4.06
762,3,10000,10,7.8,92.13
763,3,10000,50,31.8,71.6
764,3,10000,75,39.0,60.92
765,3,10000,100,50.0,51.91
766,3,10000,250,77.6,20.82
767,3,10000,500,96.0,3.97
768,5,10000,10,5.8,93.62
769,5,10000,50,26.6,71.14
770,5,10000,75,38.0,60.76
771,5,10000,100,49.2,52.17
772,5,10000,250,80.8,19.82
773,5,10000,500,96.0,4.38
774,7,10000,10,7.2,92.78
775,7,10000,50,27.8,70.47
776,7,10000,75,43.2,60.2
777,7,10000,100,46.6,50.74
778,7,10000,250,80.8,20.11
779,7,10000,500,95.0,4.16
780,9,10000,10,5.8,93.09
781,9,10000,50,28.0,70.59
782,9,10000,75,38.4,60.57
783,9,10000,100,48.4,51.63
784,9,10000,250,79.8,19.67
785,9,10000,500,95.8,4.0
786,11,10000,10,3.6,93.24
787,11,10000,50,27.4,69.68
788,11,10000,75,39.2,60.15
789,11,10000,100,47.8,51.62
790,11,10000,250,79.8,19.47
791,11,10000,500,95.8,4.29
792,2,25000,10,5.76,94.31
793,2,25000,50,30.48,71.65
794,2,25000,75,38.24,61.79
795,2,25000,100,48.4,52.34
796,2,25000,250,80.56,20.17
797,2,25000,500,95.2,4.26
798,3,25000,10,8.32,93.24
799,3,25000,50,29.12,71.25
800,3,25000,75,38.48,61.26
801,3,25000,100,46.56,52.32
802,3,25000,250,80.56,19.78
803,3,25000,500,95.68,4.29
804,5,25000,10,6.24,93.67
805,5,25000,50,29.36,70.87
806,5,25000,75,41.36,60.45
807,5,25000,100,48.56,51.68
808,5,25000,250,79.76,19.89
809,5,25000,500,96.32,3.79
810,7,25000,10,7.12,92.61
811,7,25000,50,28.32,70.77
812,7,25000,75,38.56,60.41
813,7,25000,100,47.76,51.75
814,7,25000,250,80.32,20.1
815,7,25000,500,96.16,4.14
