samples,attributes,classes,time,n_outliers,TP,FP,TN,FN,PPV,NPV,sensitivity,specificity
1250,50,4,0.082223,353,18,335,852,45,5.10,94.98,28.57,71.78
1250,60,4,0.107500,426,23,403,784,40,5.40,95.15,36.51,66.05
1250,70,4,0.113250,490,26,464,723,37,5.31,95.13,41.27,60.91
1250,80,4,0.140635,497,22,475,712,41,4.43,94.56,34.92,59.98
1250,90,4,0.145763,565,22,543,644,41,3.89,94.01,34.92,54.25
1250,100,4,0.162030,607,31,576,611,32,5.11,95.02,49.21,51.47
1250,10,5,0.018908,84,1,83,1104,62,1.19,94.68,1.59,93.01
1250,20,5,0.037028,148,5,143,1044,58,3.38,94.74,7.94,87.95
1250,30,5,0.050198,230,9,221,966,54,3.91,94.71,14.29,81.38
1250,40,5,0.070203,324,14,310,877,49,4.32,94.71,22.22,73.88
1250,50,5,0.087945,358,14,344,843,49,3.91,94.51,22.22,71.02
1250,60,5,0.098651,407,28,379,808,35,6.88,95.85,44.44,68.07
1250,70,5,0.133763,455,22,433,754,41,4.84,94.84,34.92,63.52
1250,80,5,0.130540,548,31,517,670,32,5.66,95.44,49.21,56.44
1250,90,5,0.170533,568,29,539,648,34,5.11,95.01,46.03,54.59
1250,100,5,0.171498,618,31,587,600,32,5.02,94.94,49.21,50.55
1250,10,6,0.018474,90,4,86,1101,59,4.44,94.91,6.35,92.75
1250,20,6,0.033861,180,7,173,1014,56,3.89,94.77,11.11,85.43
1250,30,6,0.054554,271,17,254,933,46,6.27,95.30,26.98,78.60
1250,40,6,0.065976,325,17,308,879,46,5.23,95.03,26.98,74.05
1250,50,6,0.084252,364,16,348,839,47,4.40,94.70,25.40,70.68
1250,60,6,0.105138,424,17,407,780,46,4.01,94.43,26.98,65.71
1250,70,6,0.116880,476,20,456,731,43,4.20,94.44,31.75,61.58
1250,80,6,0.138254,528,29,499,688,34,5.49,95.29,46.03,57.96
1250,90,6,0.146962,562,29,533,654,34,5.16,95.06,46.03,55.10
1250,100,6,0.174650,605,29,576,611,34,4.79,94.73,46.03,51.47
1250,10,7,0.020050,128,9,119,1068,54,7.03,95.19,14.29,89.97
1250,20,7,0.034570,184,3,181,1006,60,1.63,94.37,4.76,84.75
